commit,recorded_at_london,subject,source_url
0459a1c6559aa8394509ccdac18e275f6f567e86,2026-08-24T23:54:24+01:00,feat(demo): add governed exact-five local walkthrough (#60),https://github.com/chris-page-gov/gis-ai-go/commit/0459a1c6559aa8394509ccdac18e275f6f567e86
89ab8dc1c8198034b98b70bff3a6f37a50a79ccb,2026-08-25T01:33:05+01:00,feat(qual-206): add strict-modern evidence compiler (#61),https://github.com/chris-page-gov/gis-ai-go/commit/89ab8dc1c8198034b98b70bff3a6f37a50a79ccb
2244c0c25a251c348c37c6dedfe045794dbea43f,2026-08-25T04:35:32+01:00,feat(qual-206): add strict-modern private event capture (#62),https://github.com/chris-page-gov/gis-ai-go/commit/2244c0c25a251c348c37c6dedfe045794dbea43f
42f050b6135abf2872418c75b6bb2b7d5d1f2828,2026-08-25T05:59:43+01:00,feat(qual-206): add Claude composite observation (#63),https://github.com/chris-page-gov/gis-ai-go/commit/42f050b6135abf2872418c75b6bb2b7d5d1f2828
c679b6fd8fb702572da11043d492c3e9e953ad7a,2026-08-25T06:47:56+01:00,fix(qual-206): accept safe Claude SIGINT disposal (#64),https://github.com/chris-page-gov/gis-ai-go/commit/c679b6fd8fb702572da11043d492c3e9e953ad7a
5967825a27224d51558b57a5cb583d4baa610810,2026-08-25T07:58:21+01:00,test(qual-206): record Claude modern transport readiness (#65),https://github.com/chris-page-gov/gis-ai-go/commit/5967825a27224d51558b57a5cb583d4baa610810
066a9cb22f719d22e29c95cd99857ddf694c878e,2026-08-25T14:08:59+01:00,test(qual-206): add local HTTP transport preflight (#66),https://github.com/chris-page-gov/gis-ai-go/commit/066a9cb22f719d22e29c95cd99857ddf694c878e
04ae6f44e5d66285c1ad59c7df593e40391fa673,2026-08-25T15:09:10+01:00,test(qual-206): record protected-main local HTTP preflight (#67),https://github.com/chris-page-gov/gis-ai-go/commit/04ae6f44e5d66285c1ad59c7df593e40391fa673
e905c632724ecc9d13b13452fee37328e75cc2a4,2026-08-25T16:50:08+01:00,fix(qual-206): bind Claude 2.1.245 parent identity (#68),https://github.com/chris-page-gov/gis-ai-go/commit/e905c632724ecc9d13b13452fee37328e75cc2a4
fe122579dc3aba07387c0c201ce5539b50a40108,2026-08-25T17:47:09+01:00,test(qual-206): publish Claude 2.1.245 readiness evidence (#69),https://github.com/chris-page-gov/gis-ai-go/commit/fe122579dc3aba07387c0c201ce5539b50a40108
ae6e5ea80aa731669ed721f1ead11e9a2de18c9e,2026-08-25T21:06:15+01:00,feat(qual-206): add bounded Claude capability harness (#70),https://github.com/chris-page-gov/gis-ai-go/commit/ae6e5ea80aa731669ed721f1ead11e9a2de18c9e
20a4c9779992826c85ce3229585ef296c19ceb2b,2026-08-25T22:06:37+01:00,fix(qual-206): preserve Claude keychain login (#71),https://github.com/chris-page-gov/gis-ai-go/commit/20a4c9779992826c85ce3229585ef296c19ceb2b
2edf26238b20eb87d5ba5b24fdec0fda63876bd8,2026-08-25T23:04:51+01:00,fix(qual-206): pin Claude modern MCP negotiation (#72),https://github.com/chris-page-gov/gis-ai-go/commit/2edf26238b20eb87d5ba5b24fdec0fda63876bd8
10368f73bd612b6aff5e4bc8524d331ede8e5d5e,2026-08-26T02:25:45+01:00,fix(qual-206): align Claude permission alias (#73),https://github.com/chris-page-gov/gis-ai-go/commit/10368f73bd612b6aff5e4bc8524d331ede8e5d5e
add17192faec9ce8bdce962bacdce812a213330b,2026-08-26T06:29:13+01:00,fix(qual-206): accept extensible Claude request metadata (#74),https://github.com/chris-page-gov/gis-ai-go/commit/add17192faec9ce8bdce962bacdce812a213330b
0eaf430f1d9420db956fd66b359ea06adbfd7018,2026-08-26T07:26:17+01:00,fix(qual-206): allow bounded Claude completion turn (#75),https://github.com/chris-page-gov/gis-ai-go/commit/0eaf430f1d9420db956fd66b359ea06adbfd7018
5837bd65a482e90238c466673318f007e305c744,2026-08-26T08:09:12+01:00,fix(qual-206): bind Claude reported turn count (#76),https://github.com/chris-page-gov/gis-ai-go/commit/5837bd65a482e90238c466673318f007e305c744
7c20382ee94624758b081a76fa07cd5f5ae6e073,2026-08-26T08:59:44+01:00,test(qual-206): publish Claude HOST-002 capability evidence (#77),https://github.com/chris-page-gov/gis-ai-go/commit/7c20382ee94624758b081a76fa07cd5f5ae6e073
9ba663777f7b714386d505ee2777cfe46618ba60,2026-08-26T09:27:09+01:00,ci: add fail-closed impact routing shadow (#78),https://github.com/chris-page-gov/gis-ai-go/commit/9ba663777f7b714386d505ee2777cfe46618ba60
48c74817e942a5e1b6d8319489c9cbf1da1b537d,2026-08-26T11:06:20+01:00,feat(qual-206): add Claude exact-five capability pack (#79),https://github.com/chris-page-gov/gis-ai-go/commit/48c74817e942a5e1b6d8319489c9cbf1da1b537d
a12f88d4814b4f6eda8af8a5aefca8380b748bf6,2026-08-26T21:10:11+01:00,ci: harden impact routing shadow v2,https://github.com/chris-page-gov/gis-ai-go/commit/a12f88d4814b4f6eda8af8a5aefca8380b748bf6
57c46105da10aaeb9a9cb3ff91ffeeaacc888b07,2026-08-26T21:38:43+01:00,feat(qual-206): add Claude exact-five verifier,https://github.com/chris-page-gov/gis-ai-go/commit/57c46105da10aaeb9a9cb3ff91ffeeaacc888b07
d2f3e72858272dbfe3f79a83d290d622977c65e6,2026-08-27T07:45:09+01:00,fix(qual-206): complete bounded exact-five observation (#82),https://github.com/chris-page-gov/gis-ai-go/commit/d2f3e72858272dbfe3f79a83d290d622977c65e6
b9e777a9ed3744dd7291c0cd69347dd07aab2672,2026-08-27T18:30:35+01:00,fix(qual-206): allow eighth exact-five turn (#83),https://github.com/chris-page-gov/gis-ai-go/commit/b9e777a9ed3744dd7291c0cd69347dd07aab2672
5645c8467133c1d3c2883e084d5f5e1d3792f9bb,2026-08-27T19:13:39+01:00,fix(qual-206): allow ten-turn exact-five completion (#84),https://github.com/chris-page-gov/gis-ai-go/commit/5645c8467133c1d3c2883e084d5f5e1d3792f9bb
235b08109bbd6a8e7d2dd4a4635544f6c8bb3c15,2026-08-27T20:54:41+01:00,fix(interop): project Claude exact-five inspection schema (#85),https://github.com/chris-page-gov/gis-ai-go/commit/235b08109bbd6a8e7d2dd4a4635544f6c8bb3c15
029a9d5c7efcafcd45941194394384ee6c578fe9,2026-08-27T21:39:32+01:00,fix(qual-206): accept completed structured output (#87),https://github.com/chris-page-gov/gis-ai-go/commit/029a9d5c7efcafcd45941194394384ee6c578fe9
80c55d1c5817adee67052ef8be6d99d5efcceb52,2026-08-27T22:28:31+01:00,docs(qual-206): publish exact-five capability evidence (#88),https://github.com/chris-page-gov/gis-ai-go/commit/80c55d1c5817adee67052ef8be6d99d5efcceb52
4bebd3baff3c2ea0e2f07db453086dba46d0a215,2026-08-28T02:37:32+01:00,feat(qual-206): add ChatGPT exact-five tunnel evidence pack (#89),https://github.com/chris-page-gov/gis-ai-go/commit/4bebd3baff3c2ea0e2f07db453086dba46d0a215
78ce2742fb2eba9e6968175463b4f5955583414b,2026-08-28T03:17:05+01:00,fix(qual-206): reload Git tree control plans (#90),https://github.com/chris-page-gov/gis-ai-go/commit/78ce2742fb2eba9e6968175463b4f5955583414b
bbfa99656e21dc9905cfc7e98173d95f5ef3c0aa,2026-08-28T04:00:27+01:00,fix(qual-206): prove current tunnel poll readiness (#91),https://github.com/chris-page-gov/gis-ai-go/commit/bbfa99656e21dc9905cfc7e98173d95f5ef3c0aa
4694b285bdb49d5352a35376fd4d8ac6182bad88,2026-08-28T11:45:25+01:00,fix(interop): accept completed request ID reuse (#92),https://github.com/chris-page-gov/gis-ai-go/commit/4694b285bdb49d5352a35376fd4d8ac6182bad88
126aa804e20ee78f391484b3e63a25e62f92c932,2026-08-28T14:51:48+01:00,fix(qual-206): tolerate tunnel teardown EOF race (#93),https://github.com/chris-page-gov/gis-ai-go/commit/126aa804e20ee78f391484b3e63a25e62f92c932
d8fb8728b0d02afc79b28cf72625ee899d3eb325,2026-08-28T22:46:00+01:00,fix(qual-206): verify live tunnel chronology (#94),https://github.com/chris-page-gov/gis-ai-go/commit/d8fb8728b0d02afc79b28cf72625ee899d3eb325
060e0198f6c2663a5c9964d8bfb484eeed0d8e5f,2026-08-28T23:31:57+01:00,QUAL-206: record ChatGPT exact-five capability pass (#95),https://github.com/chris-page-gov/gis-ai-go/commit/060e0198f6c2663a5c9964d8bfb484eeed0d8e5f
af96f0503337ea196df9469b009ef8cec56923fa,2026-08-29T00:04:29+01:00,docs(qual-206): reconcile ChatGPT exact-five evidence (#96),https://github.com/chris-page-gov/gis-ai-go/commit/af96f0503337ea196df9469b009ef8cec56923fa
f253605ab26628e821d4ebc3809cf13c883d57ed,2026-08-29T06:40:00+01:00,feat(gateway): activate bounded exact-five local candidate (#98),https://github.com/chris-page-gov/gis-ai-go/commit/f253605ab26628e821d4ebc3809cf13c883d57ed
c7eca721b084356dace8f264d7531b2180093b2d,2026-08-29T07:02:22+01:00,fix(qual-206): retain protected-main provenance (#99),https://github.com/chris-page-gov/gis-ai-go/commit/c7eca721b084356dace8f264d7531b2180093b2d
4ca5d2257043423e187491821e4fb0829de8362f,2026-08-29T07:53:53+01:00,docs(demo): add illustrated GIS AI GO exemplar guide (#100),https://github.com/chris-page-gov/gis-ai-go/commit/4ca5d2257043423e187491821e4fb0829de8362f
8c4c3e0df7b19926507b541fc11077d2912b94ee,2026-08-29T11:02:33+01:00,feat(explorer): add bounded WebMCP catalogue candidate (#102),https://github.com/chris-page-gov/gis-ai-go/commit/8c4c3e0df7b19926507b541fc11077d2912b94ee
d880488d085d7595a5eeee58463c57a9a5faa46c,2026-08-29T12:35:49+01:00,fix(explorer): support current Site-tools callbacks (#103),https://github.com/chris-page-gov/gis-ai-go/commit/d880488d085d7595a5eeee58463c57a9a5faa46c
e5c97d0a86f81bef745d9cc028f72f1b941fed27,2026-08-29T12:49:40+01:00,fix(explorer): preserve tools across bfcache (#104),https://github.com/chris-page-gov/gis-ai-go/commit/e5c97d0a86f81bef745d9cc028f72f1b941fed27
7ea20dca9f50594ac9a587b062bfc4a3239a94de,2026-08-29T14:05:27+01:00,fix(explorer): clarify Chrome WebMCP validation (#105),https://github.com/chris-page-gov/gis-ai-go/commit/7ea20dca9f50594ac9a587b062bfc4a3239a94de
8d9a65eaa9748528b13bd066e77c7d75f0784200,2026-08-29T22:07:09+01:00,docs(webmcp): record browser compatibility evidence,https://github.com/chris-page-gov/gis-ai-go/commit/8d9a65eaa9748528b13bd066e77c7d75f0784200
1c51991c2d34fd43c602890cfff36f7f33dcef5f,2026-08-30T00:16:32+01:00,feat(gateway): prepare bounded public HTTPS ingress (#107),https://github.com/chris-page-gov/gis-ai-go/commit/1c51991c2d34fd43c602890cfff36f7f33dcef5f
c331d3d7c04fee1a4a168abcc7ee762b46b07834,2026-08-30T09:30:48+01:00,feat(assurance): add provider-neutral admission pack (#108),https://github.com/chris-page-gov/gis-ai-go/commit/c331d3d7c04fee1a4a168abcc7ee762b46b07834
bab5a78cd73bcc09d7c943a25f0358c584dd857d,2026-09-01T01:20:53+01:00,feat(assurance): preserve delivery evidence continuously (#110),https://github.com/chris-page-gov/gis-ai-go/commit/bab5a78cd73bcc09d7c943a25f0358c584dd857d
57e49322e305b499fccfbb6c46bc15e2a0ff38f9,2026-09-01T16:30:50+01:00,feat(mcp): add provider-free local candidate (#112),https://github.com/chris-page-gov/gis-ai-go/commit/57e49322e305b499fccfbb6c46bc15e2a0ff38f9
7c69d5df5939154a6a39640b0bd33456c002a4a8,2026-09-05T01:38:37+01:00,fix(assurance): repair preservation and reconcile status (#114),https://github.com/chris-page-gov/gis-ai-go/commit/7c69d5df5939154a6a39640b0bd33456c002a4a8
6c76c92a18da779766f8d49acbbd7dbbd31abb97,2026-09-14T06:33:42+01:00,fix(assurance): bind excluded projection identities (#115),https://github.com/chris-page-gov/gis-ai-go/commit/6c76c92a18da779766f8d49acbbd7dbbd31abb97
